game_year,game_season,unique_country_count
1896,Summer,14
1900,Summer,28
1904,Summer,16
1908,Summer,24
1912,Summer,27
1920,Summer,30
1924,Summer,44
1924,Winter,17
1928,Summer,45
1928,Winter,25
1932,Summer,37
1932,Winter,18
1936,Winter,28
1936,Summer,48
1948,Summer,58
1948,Winter,28
1952,Summer,68
1952,Winter,30
1956,Summer,68
1956,Winter,32
1960,Summer,85
1960,Winter,30
1964,Summer,92
1964,Winter,36
1968,Winter,37
1968,Summer,106
1972,Winter,35
1972,Summer,119
1976,Summer,107
1976,Winter,37
1980,Summer,77
1980,Winter,37
1984,Summer,134
1984,Winter,49
1988,Summer,156
1988,Winter,57
1992,Summer,166
1992,Winter,64
1994,Winter,67
1996,Summer,183
1998,Winter,71
2000,Summer,185
2002,Winter,79
2004,Summer,190
2006,Winter,79
2008,Summer,196
2010,Winter,82
2012,Summer,197
2014,Winter,89
2016,Summer,199
2018,Winter,93
2020,Summer,190
2022,Winter,91
